Wavelength;(nm);TCS01;TCS02;TCS03;TCS04;TCS05;TCS06;TCS07;TCS08;TCS09;TCS10;TCS11;TCS12;TCS13;TCS14
417;0.2464;0.1204;0.0740;0.1268;0.3235;0.5121;0.5605;0.4865;0.0500;0.0690;0.1103;0.0675;0.3554;0.0415
418;0.2456;0.1206;0.0740;0.1271;0.3243;0.5138;0.5607;0.4883;0.0500;0.0690;0.1095;0.0698;0.3569;0.0417
419;0.2448;0.1208;0.0740;0.1275;0.3252;0.5154;0.5609;0.4895;0.0500;0.0690;0.1087;0.0724;0.3581;0.0419
420;0.2440;0.1210;0.0740;0.1280;0.3260;0.5170;0.5610;0.4900;0.0500;0.0690;0.1080;0.0750;0.3590;0.0420
421;0.2432;0.1212;0.0739;0.1285;0.3268;0.5185;0.5608;0.4899;0.0499;0.0691;0.1073;0.0778;0.3595;0.0420
422;0.2423;0.1215;0.0736;0.1291;0.3276;0.5199;0.5602;0.4896;0.0497;0.0692;0.1066;0.0810;0.3599;0.0420
423;0.2415;0.1217;0.0734;0.1297;0.3284;0.5213;0.5594;0.4891;0.0495;0.0695;0.1059;0.0847;0.3602;0.0420
424;0.2407;0.1219;0.0731;0.1303;0.3292;0.5226;0.5586;0.4886;0.0492;0.0697;0.1054;0.0887;0.3606;0.0420
425;0.2400;0.1220;0.0730;0.1310;0.3300;0.5240;0.5580;0.4880;0.0490;0.0700;0.1050;0.0930;0.3610;0.0420
426;0.2394;0.1220;0.0730;0.1317;0.3308;0.5254;0.5576;0.4872;0.0488;0.0703;0.1047;0.0979;0.3616;0.0421
427;0.2388;0.1220;0.0730;0.1325;0.3316;0.5268;0.5572;0.4861;0.0486;0.0708;0.1044;0.1036;0.3623;0.0423
428;0.2383;0.1220;0.0730;0.1333;0.3323;0.5282;0.5569;0.4849;0.0484;0.0712;0.1042;0.1098;0.3630;0.0425
429;0.2377;0.1220;0.0730;0.1342;0.3331;0.5296;0.5565;0.4834;0.0482;0.0717;0.1041;0.1164;0.3636;0.0428
430;0.2370;0.1220;0.0730;0.1350;0.3340;0.5310;0.5560;0.4820;0.0480;0.0720;0.1040;0.1230;0.3640;0.0430
431;0.2361;0.1220;0.0730;0.1358;0.3349;0.5324;0.5553;0.4805;0.0478;0.0722;0.1040;0.1298;0.3643;0.0432
432;0.2350;0.1220;0.0730;0.1366;0.3358;0.5339;0.5544;0.4787;0.0476;0.0724;0.1040;0.1368;0.3644;0.0435
433;0.2338;0.1220;0.0730;0.1373;0.3368;0.5353;0.5533;0.4769;0.0474;0.0726;0.1040;0.1442;0.3646;0.0437
434;0.2328;0.1220;0.0730;0.1381;0.3379;0.5367;0.5522;0.4750;0.0472;0.0727;0.1040;0.1519;0.3648;0.0439
435;0.2320;0.1220;0.0730;0.1390;0.3390;0.5380;0.5510;0.4730;0.0470;0.0730;0.1040;0.1600;0.3650;0.0440
436;0.2315;0.1221;0.0730;0.1399;0.3403;0.5392;0.5498;0.4710;0.0468;0.0734;0.1041;0.1687;0.3653;0.0440
437;0.2311;0.1223;0.0730;0.1408;0.3417;0.5404;0.5485;0.4688;0.0466;0.0740;0.1043;0.1779;0.3657;0.0440
438;0.2308;0.1225;0.0730;0.1418;0.3432;0.5416;0.5470;0.4666;0.0464;0.0747;0.1045;0.1875;0.3661;0.0440
439;0.2305;0.1228;0.0730;0.1429;0.3446;0.5428;0.5455;0.4643;0.0462;0.0754;0.1048;0.1973;0.3666;0.0440
440;0.2300;0.1230;0.0730;0.1440;0.3460;0.5440;0.5440;0.4620;0.0460;0.0760;0.1050;0.2070;0.3670;0.0440
441;0.2293;0.1232;0.0730;0.1452;0.3472;0.5454;0.5424;0.4597;0.0457;0.0764;0.1052;0.2168;0.3674;0.0441
442;0.2284;0.1234;0.0730;0.1465;0.3484;0.5468;0.5407;0.4572;0.0453;0.0768;0.1053;0.2267;0.3678;0.0444
443;0.2274;0.1235;0.0730;0.1479;0.3495;0.5483;0.5389;0.4548;0.0449;0.0771;0.1055;0.2367;0.3681;0.0446
444;0.2265;0.1237;0.0730;0.1494;0.3507;0.5497;0.5370;0.4523;0.0444;0.0775;0.1057;0.2465;0.3685;0.0449
445;0.2260;0.1240;0.0730;0.1510;0.3520;0.5510;0.5350;0.4500;0.0440;0.0780;0.1060;0.2560;0.3690;0.0450
446;0.2257;0.1245;0.0731;0.1528;0.3534;0.5523;0.5327;0.4478;0.0436;0.0787;0.1065;0.2653;0.3695;0.0450
447;0.2256;0.1251;0.0733;0.1547;0.3550;0.5536;0.5303;0.4456;0.0431;0.0797;0.1072;0.2747;0.3702;0.0450
448;0.2254;0.1259;0.0735;0.1568;0.3566;0.5548;0.5276;0.4435;0.0427;0.0808;0.1081;0.2837;0.3708;0.0450
449;0.2252;0.1265;0.0738;0.1589;0.3583;0.5557;0.5248;0.4413;0.0423;0.0819;0.1091;0.2923;0.3715;0.0450
450;0.2250;0.1270;0.0740;0.1610;0.3600;0.5560;0.5220;0.4390;0.0420;0.0830;0.1100;0.3000;0.3720;0.0450
451;0.2246;0.1272;0.0742;0.1631;0.3617;0.5560;0.5190;0.4365;0.0418;0.0840;0.1109;0.3072;0.3725;0.0451
452;0.2240;0.1274;0.0744;0.1652;0.3634;0.5560;0.5159;0.4340;0.0416;0.0849;0.1118;0.3142;0.3729;0.0453
453;0.2233;0.1276;0.0746;0.1674;0.3652;0.5560;0.5127;0.4313;0.0414;0.0859;0.1128;0.3207;0.3732;0.0455
454;0.2226;0.1278;0.0748;0.1696;0.3670;0.5560;0.5094;0.4286;0.0413;0.0869;0.1138;0.3264;0.3736;0.0458
455;0.2220;0.1280;0.0750;0.1720;0.3690;0.5560;0.5060;0.4260;0.0410;0.0880;0.1150;0.3310;0.3740;0.0460
456;0.2215;0.1284;0.0753;0.1745;0.3712;0.5559;0.5026;0.4234;0.0406;0.0891;0.1163;0.3351;0.3744;0.0462
457;0.2211;0.1290;0.0757;0.1772;0.3735;0.5556;0.4990;0.4209;0.0400;0.0902;0.1178;0.3390;0.3748;0.0464
458;0.2208;0.1297;0.0761;0.1799;0.3760;0.5551;0.4954;0.4184;0.0393;0.0914;0.1194;0.3424;0.3751;0.0466
459;0.2204;0.1304;0.0765;0.1829;0.3785;0.5546;0.4917;0.4158;0.0386;0.0930;0.1212;0.3448;0.3755;0.0468
460;0.2200;0.1310;0.0770;0.1860;0.3810;0.5540;0.4880;0.4130;0.0380;0.0950;0.1230;0.3460;0.3760;0.0470
461;0.2196;0.1316;0.0775;0.1894;0.3836;0.5533;0.4843;0.4100;0.0374;0.1001;0.1249;0.3463;0.3765;0.0472
462;0.2192;0.1322;0.0780;0.1930;0.3864;0.5524;0.4806;0.4068;0.0367;0.1090;0.1270;0.3466;0.3770;0.0474
463;0.2188;0.1327;0.0786;0.1968;0.3891;0.5514;0.4768;0.4035;0.0361;0.1188;0.1292;0.3468;0.3776;0.0476
464;0.2184;0.1333;0.0793;0.2008;0.3917;0.5502;0.4729;0.4002;0.0355;0.1267;0.1316;0.3470;0.3783;0.0478
465;0.2180;0.1340;0.0800;0.2050;0.3940;0.5490;0.4690;0.3970;0.0350;0.1300;0.1340;0.3470;0.3790;0.0480
466;0.2176;0.1347;0.0808;0.2094;0.3960;0.5477;0.4649;0.3940;0.0345;0.1282;0.1365;0.3466;0.3798;0.0483
467;0.2172;0.1355;0.0817;0.2142;0.3979;0.5462;0.4607;0.3910;0.0341;0.1240;0.1392;0.3457;0.3808;0.0487
468;0.2168;0.1363;0.0827;0.2191;0.3997;0.5445;0.4563;0.3880;0.0338;0.1190;0.1419;0.3443;0.3819;0.0491
469;0.2164;0.1371;0.0838;0.2240;0.4014;0.5428;0.4521;0.3850;0.0334;0.1148;0.1449;0.3427;0.3830;0.0496
470;0.2160;0.1380;0.0850;0.2290;0.4030;0.5410;0.4480;0.3820;0.0330;0.1130;0.1480;0.3410;0.3840;0.0500
471;0.2155;0.1389;0.0864;0.2339;0.4045;0.5392;0.4441;0.3788;0.0326;0.1138;0.1513;0.3391;0.3850;0.0504
472;0.2150;0.1398;0.0880;0.2388;0.4060;0.5372;0.4404;0.3756;0.0321;0.1159;0.1549;0.3368;0.3859;0.0508
473;0.2145;0.1408;0.0898;0.2438;0.4075;0.5352;0.4366;0.3723;0.0317;0.1188;0.1588;0.3341;0.3868;0.0511
474;0.2141;0.1419;0.0918;0.2489;0.4088;0.5332;0.4329;0.3691;0.0313;0.1220;0.1628;0.3311;0.3879;0.0515
475;0.2140;0.1430;0.0940;0.2540;0.4100;0.5310;0.4290;0.3660;0.0310;0.1250;0.1670;0.3280;0.3890;0.0520
476;0.2140;0.1442;0.0965;0.2593;0.4111;0.5288;0.4250;0.3631;0.0308;0.1280;0.1715;0.3245;0.3904;0.0525
477;0.2140;0.1455;0.0994;0.2647;0.4122;0.5265;0.4208;0.3603;0.0306;0.1312;0.1764;0.3205;0.3919;0.0532
478;0.2140;0.1470;0.1025;0.2701;0.4133;0.5241;0.4166;0.3576;0.0304;0.1347;0.1815;0.3161;0.3936;0.0538
479;0.2140;0.1485;0.1058;0.2756;0.4142;0.5216;0.4124;0.3548;0.0302;0.1383;0.1868;0.3116;0.3953;0.0545
